wavelength,response
3.08106000,0.00049000
3.08289000,0.00058600
3.08473000,0.00045300
3.08656000,0.00045800
3.08840000,0.00043900
3.09024000,0.00053100
3.09208000,0.00064100
3.09393000,0.00044200
3.09578000,0.00053500
3.09762000,0.00065500
3.09948000,0.00052500
3.10133000,0.00063100
3.10319000,0.00061800
3.10504000,0.00049600
3.10690000,0.00070000
3.10877000,0.00089500
3.11063000,0.00087300
3.11250000,0.00104500
3.11437000,0.00129400
3.11624000,0.00139000
3.11811000,0.00168300
3.11999000,0.00213200
3.12187000,0.00241300
3.12375000,0.00278200
3.12563000,0.00334300
3.12752000,0.00384600
3.12940000,0.00459600
3.13129000,0.00576000
3.13319000,0.00688900
3.13508000,0.00831300
3.13698000,0.01017000
3.13888000,0.01218000
3.14078000,0.01482000
3.14268000,0.01816000
3.14459000,0.02181000
3.14649000,0.02646000
3.14841000,0.03197000
3.15032000,0.03857000
3.15223000,0.04650000
3.15415000,0.05522000
3.15607000,0.06533000
3.15799000,0.07740000
3.15992000,0.09147000
3.16184000,0.10610000
3.16377000,0.12200000
3.16570000,0.14060000
3.16764000,0.15890000
3.16957000,0.17880000
3.17151000,0.20020000
3.17345000,0.22050000
3.17540000,0.24120000
3.17734000,0.26180000
3.17929000,0.28220000
3.18124000,0.29860000
3.18319000,0.31400000
3.18515000,0.33040000
3.18711000,0.34310000
3.18907000,0.35290000
3.19103000,0.36060000
3.19299000,0.36850000
3.19496000,0.37230000
3.19693000,0.37370000
3.19890000,0.37500000
3.20088000,0.37440000
3.20286000,0.37180000
3.20484000,0.37030000
3.20682000,0.36860000
3.20880000,0.36530000
3.21079000,0.36190000
3.21278000,0.35800000
3.21477000,0.35410000
3.21676000,0.35130000
3.21876000,0.34950000
3.22076000,0.34840000
3.22276000,0.34520000
3.22477000,0.34370000
3.22677000,0.34460000
3.22878000,0.34360000
3.23079000,0.34360000
3.23281000,0.34430000
3.23482000,0.34480000
3.23684000,0.34740000
3.23887000,0.34960000
3.24089000,0.35120000
3.24292000,0.35410000
3.24495000,0.35780000
3.24698000,0.36230000
3.24901000,0.36610000
3.25105000,0.36980000
3.25309000,0.37480000
3.25513000,0.37950000
3.25718000,0.38410000
3.25922000,0.38950000
3.26127000,0.39360000
3.26332000,0.39740000
3.26538000,0.40070000
3.26744000,0.40340000
3.26950000,0.40650000
3.27156000,0.41040000
3.27363000,0.41250000
