wavelength,response
4.74421000,0.00009100
4.74856000,0.00008900
4.75291000,0.00008200
4.75727000,0.00007300
4.76164000,0.00006700
4.76601000,0.00007100
4.77040000,0.00008000
4.77479000,0.00007700
4.77919000,0.00007600
4.78360000,0.00008400
4.78802000,0.00007800
4.79244000,0.00005900
4.79688000,0.00005800
4.80132000,0.00006400
4.80577000,0.00006400
4.81023000,0.00005900
4.81469000,0.00006200
4.81917000,0.00007400
4.82365000,0.00007900
4.82814000,0.00007400
4.83264000,0.00005700
4.83715000,0.00005700
4.84166000,0.00007100
4.84619000,0.00008700
4.85072000,0.00010800
4.85527000,0.00012800
4.85982000,0.00014600
4.86437000,0.00018200
4.86894000,0.00024900
4.87352000,0.00031900
4.87810000,0.00033000
4.88270000,0.00042700
4.88730000,0.00052400
4.89191000,0.00071600
4.89653000,0.00119200
4.90116000,0.00179900
4.90579000,0.00263500
4.91044000,0.00361100
4.91509000,0.00462500
4.91976000,0.00584900
4.92443000,0.00720300
4.92911000,0.00856900
4.93380000,0.01052000
4.93850000,0.01295000
4.94321000,0.01591000
4.94792000,0.01933000
4.95265000,0.02243000
4.95738000,0.02605000
4.96213000,0.02958000
4.96688000,0.03298000
4.97164000,0.03637000
4.97641000,0.03989000
4.98119000,0.04359000
4.98598000,0.04734000
4.99078000,0.05102000
4.99559000,0.05547000
5.00041000,0.05867000
5.00523000,0.06256000
5.01007000,0.06592000
5.01492000,0.06873000
5.01977000,0.07092000
5.02463000,0.07309000
5.02951000,0.07452000
5.03439000,0.07602000
5.03928000,0.07741000
5.04419000,0.07852000
5.04910000,0.07990000
5.05402000,0.08102000
5.05895000,0.08237000
5.06389000,0.08383000
5.06884000,0.08533000
5.07380000,0.08704000
5.07877000,0.08925000
5.08375000,0.09112000
5.08874000,0.09334000
5.09374000,0.09547000
5.09874000,0.09705000
5.10376000,0.09815000
5.10879000,0.09923000
5.11383000,0.10020000
5.11888000,0.10090000
5.12394000,0.10170000
5.12900000,0.10240000
5.13408000,0.10290000
5.13917000,0.10340000
5.14427000,0.10370000
5.14938000,0.10380000
5.15450000,0.10380000
5.15963000,0.10390000
5.16476000,0.10400000
5.16991000,0.10430000
5.17507000,0.10480000
5.18024000,0.10530000
5.18542000,0.10590000
5.19061000,0.10660000
5.19581000,0.10720000
5.20103000,0.10800000
5.20625000,0.10880000
5.21148000,0.10950000
5.21672000,0.11020000
5.22198000,0.11090000
5.22724000,0.11150000
5.23252000,0.11210000
5.23780000,0.11270000
5.24310000,0.11290000
5.24840000,0.11290000
5.25372000,0.11230000
5.25905000,0.11160000
5.26439000,0.11100000
5.26974000,0.11020000
5.27510000,0.10950000
5.28047000,0.10920000
5.28585000,0.10930000
5.29125000,0.10990000
5.29665000,0.11060000
5.30207000,0.11110000
5.30750000,0.11190000
5.31293000,0.11260000
5.31838000,0.11350000
5.32384000,0.11450000
5.32931000,0.11560000
5.33480000,0.11650000
5.34029000,0.11760000
5.34580000,0.11860000
5.35131000,0.11950000
5.35684000,0.12030000
5.36238000,0.12100000
5.36793000,0.12160000
5.37350000,0.12220000
5.37907000,0.12270000
5.38466000,0.12290000
5.39025000,0.12290000
5.39586000,0.12290000
5.40148000,0.12280000
5.40711000,0.12260000
5.41276000,0.12250000
5.41842000,0.12210000
5.42408000,0.12200000
5.42976000,0.12190000
5.43545000,0.12170000
5.44116000,0.12170000
5.44687000,0.12160000
5.45260000,0.12170000
5.45834000,0.12180000
5.46409000,0.12190000
5.46986000,0.12180000
5.47563000,0.12190000
5.48142000,0.12180000
5.48722000,0.12190000
5.49303000,0.12170000
5.49886000,0.12170000
5.50470000,0.12180000
5.51055000,0.12200000
5.51641000,0.12260000
5.52228000,0.12320000
5.52817000,0.12390000
5.53407000,0.12450000
5.53998000,0.12530000
5.54591000,0.12610000
5.55184000,0.12680000
5.55780000,0.12750000
5.56376000,0.12820000
5.56973000,0.12890000
5.57572000,0.12960000
5.58173000,0.12960000
5.58774000,0.12940000
5.59377000,0.12920000
5.59981000,0.12890000
5.60586000,0.12880000
5.61193000,0.12880000
5.61801000,0.12900000
5.62410000,0.12960000
5.63021000,0.13030000
5.63633000,0.13110000
5.64246000,0.13180000
5.64861000,0.13240000
5.65477000,0.13300000
5.66094000,0.13350000
5.66713000,0.13400000
5.67333000,0.13440000
5.67954000,0.13430000
5.68577000,0.13420000
5.69201000,0.13410000
5.69827000,0.13410000
5.70454000,0.13430000
5.71082000,0.13490000
5.71711000,0.13540000
5.72343000,0.13590000
5.72975000,0.13640000
5.73609000,0.13680000
5.74244000,0.13700000
5.74881000,0.13740000
5.75519000,0.13760000
5.76158000,0.13740000
5.76799000,0.13660000
5.77441000,0.13600000
5.78085000,0.13520000
5.78730000,0.13480000
5.79377000,0.13480000
5.80025000,0.13530000
5.80674000,0.13580000
5.81325000,0.13630000
5.81978000,0.13700000
5.82632000,0.13760000
5.83287000,0.13810000
5.83944000,0.13860000
5.84602000,0.13900000
5.85262000,0.13930000
5.85924000,0.13970000
5.86586000,0.13960000
5.87251000,0.13970000
5.87916000,0.13970000
5.88584000,0.13970000
5.89253000,0.13980000
5.89923000,0.14010000
5.90595000,0.14030000
5.91268000,0.14060000
5.91943000,0.14090000
5.92620000,0.14130000
5.93298000,0.14160000
5.93977000,0.14170000
5.94659000,0.14190000
5.95341000,0.14200000
5.96026000,0.14200000
5.96712000,0.14210000
5.97399000,0.14200000
5.98088000,0.14200000
5.98779000,0.14210000
5.99471000,0.14200000
6.00165000,0.14190000
6.00860000,0.14160000
6.01557000,0.14150000
6.02256000,0.14150000
6.02956000,0.14170000
6.03658000,0.14170000
6.04362000,0.14180000
6.05067000,0.14190000
6.05774000,0.14190000
6.06482000,0.14180000
6.07192000,0.14200000
6.07904000,0.14200000
6.08618000,0.14160000
6.09333000,0.14100000
6.10050000,0.14010000
6.10768000,0.13920000
6.11489000,0.13820000
6.12211000,0.13740000
6.12934000,0.13680000
6.13660000,0.13610000
6.14387000,0.13570000
6.15115000,0.13540000
6.15846000,0.13520000
6.16578000,0.13520000
6.17312000,0.13500000
6.18048000,0.13470000
6.18786000,0.13470000
6.19525000,0.13410000
6.20266000,0.13330000
6.21009000,0.13230000
6.21753000,0.13090000
6.22500000,0.12920000
6.23248000,0.12780000
6.23998000,0.12630000
6.24750000,0.12530000
6.25503000,0.12490000
6.26259000,0.12450000
6.27016000,0.12440000
6.27775000,0.12460000
6.28536000,0.12480000
6.29299000,0.12510000
6.30064000,0.12540000
6.30830000,0.12520000
6.31598000,0.12500000
6.32369000,0.12350000
6.33141000,0.12230000
6.33915000,0.12000000
6.34691000,0.11760000
6.35469000,0.11480000
6.36248000,0.10930000
6.37030000,0.10360000
6.37813000,0.09720000
6.38599000,0.09083000
6.39386000,0.08463000
6.40176000,0.07940000
6.40967000,0.07256000
6.41760000,0.06498000
6.42556000,0.05796000
6.43353000,0.04972000
6.44152000,0.04142000
6.44953000,0.03276000
6.45756000,0.02550000
6.46561000,0.01899000
6.47369000,0.01339000
6.48178000,0.00910900
6.48989000,0.00578900
6.49802000,0.00327200
6.50618000,0.00172000
6.51435000,0.00082000
6.52254000,0.00037100
6.53076000,0.00012500
6.53900000,0.00006100
6.54725000,0.00004500
6.55553000,0.00003000
6.56383000,0.00002900
6.57215000,0.00002600
6.58049000,0.00000600
6.58885000,0.00001200
6.59723000,0.00002700
6.60563000,0.00003200
6.61406000,0.00005100
6.62251000,0.00006500
